policy,p,chunk,trial,width,height,max_iter,time_ms,imbalance,checksum
guided,4,16,1,640,360,500,8.430,0.02750,11681458
guided,4,16,2,640,360,500,8.362,0.02219,11681458
guided,4,16,3,640,360,500,8.456,0.03669,11681458
guided,4,64,1,640,360,500,17.588,2.22474,11681458
guided,4,64,2,640,360,500,17.784,2.22474,11681458
guided,4,64,3,640,360,500,17.756,2.22474,11681458
guided,4,256,1,640,360,500,29.467,3.94849,11681458
guided,4,256,2,640,360,500,29.422,3.94849,11681458
guided,4,256,3,640,360,500,29.339,3.94849,11681458
guided,8,1,1,640,360,500,5.337,0.56714,11681458
guided,8,1,2,640,360,500,5.791,0.45877,11681458
guided,8,1,3,640,360,500,5.449,0.44344,11681458
guided,8,16,1,640,360,500,7.312,0.93485,11681458
guided,8,16,2,640,360,500,7.089,1.23452,11681458
guided,8,16,3,640,360,500,7.210,1.00342,11681458
guided,8,64,1,640,360,500,17.595,4.59541,11681458
guided,8,64,2,640,360,500,17.626,4.59541,11681458
guided,8,64,3,640,360,500,17.838,4.59541,11681458
guided,8,256,1,640,360,500,29.392,7.89697,11681458
guided,8,256,2,640,360,500,29.420,7.89697,11681458
guided,8,256,3,640,360,500,29.352,7.89697,11681458
guided,16,1,1,640,360,500,5.564,2.53209,11681458
guided,16,1,2,640,360,500,5.524,2.44969,11681458
guided,16,1,3,640,360,500,6.060,2.44284,11681458
guided,16,16,1,640,360,500,7.670,2.95352,11681458
guided,16,16,2,640,360,500,7.236,3.01914,11681458
guided,16,16,3,640,360,500,6.635,3.01914,11681458
guided,16,64,1,640,360,500,17.710,9.19081,11681458
guided,16,64,2,640,360,500,17.557,9.19081,11681458
guided,16,64,3,640,360,500,17.611,9.19081,11681458
guided,16,256,1,640,360,500,29.437,15.79394,11681458
guided,16,256,2,640,360,500,29.457,15.79394,11681458
guided,16,256,3,640,360,500,29.432,15.79394,11681458
