team_size,trial,work_iterations,elapsed_ms
1,1,0,0.088
1,2,0,0.101
1,3,0,0.089
1,4,0,0.080
1,5,0,0.082
2,1,0,0.107
2,2,0,0.096
2,3,0,0.096
2,4,0,0.119
2,5,0,0.105
4,1,0,0.144
4,2,0,0.127
4,3,0,0.125
4,4,0,0.135
4,5,0,0.128
8,1,0,0.245
8,2,0,0.578
8,3,0,0.217
8,4,0,0.204
8,5,0,0.237
16,1,0,0.387
16,2,0,0.304
16,3,0,0.266
16,4,0,0.219
16,5,0,0.240
32,1,0,0.430
32,2,0,0.420
32,3,0,0.429
32,4,0,0.418
32,5,0,0.579
64,1,0,0.702
64,2,0,1.371
64,3,0,0.562
64,4,0,0.535
64,5,0,0.688
